itemId,pricelog2
1,10
69585,6
90939,6
69586,0
30029,7
20513,6
7492,9
107704,6
2,9
3,7
69587,0
205014,9
37048,7
80338,7
37049,7
20514,7
4,9
37050,0
255983,0
7493,0
151854,0
166483,9
107706,9
107707,9
20515,9
166484,9
107709,7
80340,8
190555,9
20516,9
210938,7
228101,10
25942,0
136627,9
90944,8
299371,9
14994,8
303766,0
58767,6
80342,7
247910,7
20517,9
144233,10
171692,9
235104,7
80343,9
58770,10
136629,9
159283,10
80344,8
47940,10
129108,9
7494,11
90948,0
235106,8
230136,7
534324,10
58771,9
405964,10
345197,0
14996,8
7496,9
126713,6
166485,9
58772,9
7497,9
90951,8
177538,7
37055,9
90953,6
80347,8
412189,6
133959,10
136630,9
58775,8
7498,0
7499,7
47943,7
20518,8
14997,8
7,8
37057,8
47944,8
30031,8
47945,7
107716,8
20519,0
14998,7
342078,0
407930,0
14999,9
303769,10
15000,7
9,10
47946,8
255989,0
69596,7
107720,7
190557,0
69597,9
107722,6
308274,0
37061,6
694354,6
486069,6
10,8
20520,0
80352,8
90962,12
677601,0
20521,7
451580,0
58777,9
495894,0
144238,6
90964,7
230137,7
248896,8
107725,6
602448,6
80354,8
409777,6
80355,9
47951,7
255991,0
246780,6
235120,7
12,8
47952,6
380162,7
7500,7
13,7
144239,7
7501,9
20522,0
37065,7
247914,8
235121,8
336612,7
20523,0
136632,8
47953,7
7502,7
370763,6
472344,6
151858,7
273818,7
107732,6
372724,6
90973,6
7503,7
190559,7
312808,6
37067,9
30033,7
58779,7
214027,0
391807,6
199154,6
20528,8
228106,8
47956,8
15,8
107736,0
129110,8
30034,8
16,8
37069,6
30035,8
107737,10
30036,9
214029,7
107740,7
69603,9
80363,8
355481,0
90983,7
69604,0
30037,9
7505,8
80364,10
151865,8
90984,10
30038,9
259143,9
129114,8
58783,8
19,9
107743,9
124261,0
136636,7
151866,7
90986,6
151867,6
58785,7
37073,0
90987,0
450868,0
124262,7
214037,10
498887,0
255994,7
37076,7
7508,7
20530,7
21,6
69609,6
345207,0
186193,8
30040,7
133963,6
90989,6
131639,6
